GO.ID	term	gProfiler.p_value	clustProfiler.p_value	topGO.p_value	significant_count	included_count
GO:0033595	response to genistein	NA	NA	1	0	1
GO:0033606	chemokine receptor transport within lipi...	NA	NA	1	0	1
GO:0033609	oxalate metabolic process	NA	NA	1	0	1
GO:0033626	positive regulation of integrin activati...	NA	NA	1	0	1
GO:0033668	symbiont-mediated suppression of host ap...	NA	NA	1	0	1
GO:0033685	negative regulation of luteinizing hormo...	NA	NA	1	0	1
GO:0033693	neurofilament bundle assembly	NA	NA	1	0	1
GO:0033861	negative regulation of NAD(P)H oxidase a...	NA	NA	1	0	1
GO:0034014	response to triglyceride	NA	NA	1	0	1
GO:0034036	purine ribonucleoside bisphosphate biosy...	NA	NA	1	0	1
GO:0034050	symbiont-induced defense-related program...	NA	NA	1	0	1
GO:0034059	response to anoxia	NA	NA	1	0	1
GO:0034125	negative regulation of MyD88-dependent t...	NA	NA	1	0	1
GO:0034150	toll-like receptor 6 signaling pathway	NA	NA	1	0	1
GO:0034151	regulation of toll-like receptor 6 signa...	NA	NA	1	0	1
GO:0034199	activation of protein kinase A activity	NA	NA	1	0	1
GO:0034203	glycolipid translocation	NA	NA	1	0	1
GO:0034213	quinolinate catabolic process	NA	NA	1	0	1
GO:0034230	enkephalin processing	NA	NA	1	0	1
GO:0034231	islet amyloid polypeptide processing	NA	NA	1	0	1
GO:0034255	regulation of urea metabolic process	NA	NA	1	0	1
GO:0034275	kynurenic acid metabolic process	NA	NA	1	0	1
GO:0034276	kynurenic acid biosynthetic process	NA	NA	1	0	1
GO:0034345	negative regulation of type III interfer...	NA	NA	1	0	1
GO:0034352	positive regulation of glial cell apopto...	NA	NA	1	0	1
GO:0034371	chylomicron remodeling	NA	NA	1	0	1
GO:0034442	regulation of lipoprotein oxidation	NA	NA	1	0	1
GO:0034443	negative regulation of lipoprotein oxida...	NA	NA	1	0	1
GO:0034478	phosphatidylglycerol catabolic process	NA	NA	1	0	1
GO:0034516	response to vitamin B6	NA	NA	1	0	1
GO:0034552	respiratory chain complex II assembly	NA	NA	1	0	1
GO:0034553	mitochondrial respiratory chain complex ...	NA	NA	1	0	1
GO:0034589	hydroxyproline transport	NA	NA	1	0	1
GO:0034633	retinol transport	NA	NA	1	0	1
GO:0034653	retinoic acid catabolic process	NA	NA	1	0	1
GO:0034758	positive regulation of iron ion transpor...	NA	NA	1	0	1
GO:0034761	positive regulation of iron ion transmem...	NA	NA	1	0	1
GO:0035026	leading edge cell differentiation	NA	NA	1	0	1
GO:0035038	female pronucleus assembly	NA	NA	1	0	1
GO:0035041	sperm DNA decondensation	NA	NA	1	0	1
GO:0035054	embryonic heart tube anterior/posterior ...	NA	NA	1	0	1
GO:0035106	operant conditioning	NA	NA	1	0	1
GO:0035129	post-embryonic hindlimb morphogenesis	NA	NA	1	0	1
GO:0035238	vitamin A biosynthetic process	NA	NA	1	0	1
GO:0035246	peptidyl-arginine N-methylation	NA	NA	1	0	1
GO:0035247	peptidyl-arginine omega-N-methylation	NA	NA	1	0	1
GO:0035287	head segmentation	NA	NA	1	0	1
GO:0035289	posterior head segmentation	NA	NA	1	0	1
GO:0035348	acetyl-CoA transmembrane transport	NA	NA	1	0	1
GO:0035352	NAD transmembrane transport	NA	NA	1	0	1
GO:0035377	transepithelial water transport	NA	NA	1	0	1
GO:0035378	carbon dioxide transmembrane transport	NA	NA	1	0	1
GO:0035382	sterol transmembrane transport	NA	NA	1	0	1
GO:0035429	gluconate transmembrane transport	NA	NA	1	0	1
GO:0035445	borate transmembrane transport	NA	NA	1	0	1
GO:0035483	gastric emptying	NA	NA	1	0	1
GO:0035490	regulation of leukotriene production inv...	NA	NA	1	0	1
GO:0035491	positive regulation of leukotriene produ...	NA	NA	1	0	1
GO:0035499	carnosine biosynthetic process	NA	NA	1	0	1
GO:0035504	regulation of myosin light chain kinase ...	NA	NA	1	0	1
GO:0035505	positive regulation of myosin light chai...	NA	NA	1	0	1
GO:0035543	positive regulation of SNARE complex ass...	NA	NA	1	0	1
GO:0035544	negative regulation of SNARE complex ass...	NA	NA	1	0	1
GO:0035545	determination of left/right asymmetry in...	NA	NA	1	0	1
GO:0035565	regulation of pronephros size	NA	NA	1	0	1
GO:0035566	regulation of metanephros size	NA	NA	1	0	1
GO:0035582	sequestering of BMP in extracellular mat...	NA	NA	1	0	1
GO:0035602	fibroblast growth factor receptor signal...	NA	NA	1	0	1
GO:0035603	fibroblast growth factor receptor signal...	NA	NA	1	0	1
GO:0035604	fibroblast growth factor receptor signal...	NA	NA	1	0	1
GO:0035623	renal D-glucose absorption	NA	NA	1	0	1
GO:0035645	enteric smooth muscle cell differentiati...	NA	NA	1	0	1
GO:0035664	TIRAP-dependent toll-like receptor signa...	NA	NA	1	0	1
GO:0035665	TIRAP-dependent toll-like receptor 4 sig...	NA	NA	1	0	1
GO:0035675	neuromast hair cell development	NA	NA	1	0	1
GO:0035677	posterior lateral line neuromast hair ce...	NA	NA	1	0	1
GO:0035695	mitophagy by internal vacuole formation	NA	NA	1	0	1
GO:0035708	interleukin-4-dependent isotype switchin...	NA	NA	1	0	1
GO:0035713	response to nitrogen dioxide	NA	NA	1	0	1
GO:0035732	nitric oxide storage	NA	NA	1	0	1
GO:0035746	granzyme A production	NA	NA	1	0	1
GO:0035759	mesangial cell-matrix adhesion	NA	NA	1	0	1
GO:0035766	cell chemotaxis to fibroblast growth fac...	NA	NA	1	0	1
GO:0035768	endothelial cell chemotaxis to fibroblas...	NA	NA	1	0	1
GO:0035772	interleukin-13-mediated signaling pathwa...	NA	NA	1	0	1
GO:0035780	CD80 biosynthetic process	NA	NA	1	0	1
GO:0035781	CD86 biosynthetic process	NA	NA	1	0	1
GO:0035782	mature natural killer cell chemotaxis	NA	NA	1	0	1
GO:0035803	egg coat formation	NA	NA	1	0	1
GO:0035813	regulation of renal sodium excretion	NA	NA	1	0	1
GO:0035814	negative regulation of renal sodium excr...	NA	NA	1	0	1
GO:0035815	positive regulation of renal sodium excr...	NA	NA	1	0	1
GO:0035849	nephric duct elongation	NA	NA	1	0	1
GO:0035862	dITP metabolic process	NA	NA	1	0	1
GO:0035863	dITP catabolic process	NA	NA	1	0	1
GO:0035887	aortic smooth muscle cell differentiatio...	NA	NA	1	0	1
GO:0035906	descending aorta development	NA	NA	1	0	1
GO:0035921	desmosome disassembly	NA	NA	1	0	1
GO:0035922	foramen ovale closure	NA	NA	1	0	1
GO:0035935	androgen secretion	NA	NA	1	0	1
GO:0035963	cellular response to interleukin-13	NA	NA	1	0	1
GO:0035971	peptidyl-histidine dephosphorylation	NA	NA	1	0	1
GO:0035989	tendon development	NA	NA	1	0	1
GO:0035990	tendon cell differentiation	NA	NA	1	0	1
GO:0035992	tendon formation	NA	NA	1	0	1
GO:0035993	deltoid tuberosity development	NA	NA	1	0	1
GO:0036046	protein demalonylation	NA	NA	1	0	1
GO:0036047	peptidyl-lysine demalonylation	NA	NA	1	0	1
GO:0036048	protein desuccinylation	NA	NA	1	0	1
GO:0036049	peptidyl-lysine desuccinylation	NA	NA	1	0	1
GO:0036060	slit diaphragm assembly	NA	NA	1	0	1
GO:0036088	D-serine catabolic process	NA	NA	1	0	1
GO:0036101	leukotriene B4 catabolic process	NA	NA	1	0	1
GO:0036102	leukotriene B4 metabolic process	NA	NA	1	0	1
GO:0036146	cellular response to mycotoxin	NA	NA	1	0	1
GO:0036153	triglyceride acyl-chain remodeling	NA	NA	1	0	1
GO:0036162	oxytocin production	NA	NA	1	0	1
GO:0036179	osteoclast maturation	NA	NA	1	0	1
GO:0036250	peroxisome transport along microtubule	NA	NA	1	0	1
GO:0036269	swimming behavior	NA	NA	1	0	1
GO:0036292	DNA rewinding	NA	NA	1	0	1
GO:0036304	umbilical cord morphogenesis	NA	NA	1	0	1
GO:0036306	embryonic heart tube elongation	NA	NA	1	0	1
GO:0036321	ghrelin secretion	NA	NA	1	0	1
GO:0036324	vascular endothelial growth factor recep...	NA	NA	1	0	1
GO:0036325	vascular endothelial growth factor recep...	NA	NA	1	0	1
GO:0036331	avascular cornea development in camera-t...	NA	NA	1	0	1
GO:0036339	lymphocyte adhesion to endothelial cell ...	NA	NA	1	0	1
GO:0036345	platelet maturation	NA	NA	1	0	1
GO:0036368	cone photoresponse recovery	NA	NA	1	0	1
GO:0036371	protein localization to T-tubule	NA	NA	1	0	1
GO:0036445	neuronal stem cell division	NA	NA	1	0	1
GO:0036471	cellular response to glyoxal	NA	NA	1	0	1
GO:0036516	chemoattraction of dopaminergic neuron a...	NA	NA	1	0	1
GO:0036517	chemoattraction of serotonergic neuron a...	NA	NA	1	0	1
GO:0036518	chemorepulsion of dopaminergic neuron ax...	NA	NA	1	0	1
GO:0036525	protein deglycation	NA	NA	1	0	1
GO:0038001	paracrine signaling	NA	NA	1	0	1
GO:0038009	regulation of signal transduction by rec...	NA	NA	1	0	1
GO:0038033	positive regulation of endothelial cell ...	NA	NA	1	0	1
GO:0038035	ligand-independent adenylate cyclase-act...	NA	NA	1	0	1
GO:0038041	cross-receptor inhibition within G prote...	NA	NA	1	0	1
GO:0038086	VEGF-activated platelet-derived growth f...	NA	NA	1	0	1
GO:0038089	positive regulation of cell migration by...	NA	NA	1	0	1
GO:0038091	positive regulation of cell proliferatio...	NA	NA	1	0	1
GO:0038101	sequestering of nodal from receptor via ...	NA	NA	1	0	1
GO:0038108	negative regulation of appetite by lepti...	NA	NA	1	0	1
GO:0038112	interleukin-8-mediated signaling pathway	NA	NA	1	0	1
GO:0038114	interleukin-21-mediated signaling pathwa...	NA	NA	1	0	1
GO:0038118	C-C chemokine receptor CCR7 signaling pa...	NA	NA	1	0	1
GO:0038123	toll-like receptor TLR1:TLR2 signaling p...	NA	NA	1	0	1
GO:0038134	ERBB2-EGFR signaling pathway	NA	NA	1	0	1
GO:0038135	ERBB2-ERBB4 signaling pathway	NA	NA	1	0	1
GO:0038138	ERBB4-ERBB4 signaling pathway	NA	NA	1	0	1
GO:0038169	somatostatin receptor signaling pathway	NA	NA	1	0	1
GO:0038170	somatostatin signaling pathway	NA	NA	1	0	1
GO:0038171	cannabinoid signaling pathway	NA	NA	1	0	1
GO:0038178	complement component C5a signaling pathw...	NA	NA	1	0	1
GO:0038184	adenylate cyclase-activating G protein-c...	NA	NA	1	0	1
GO:0038188	cholecystokinin signaling pathway	NA	NA	1	0	1
GO:0038193	thromboxane A2 signaling pathway	NA	NA	1	0	1
GO:0038195	urokinase plasminogen activator signalin...	NA	NA	1	0	1
GO:0039654	fusion of virus membrane with host endos...	NA	NA	1	0	1
GO:0040010	positive regulation of growth rate	NA	NA	1	0	1
GO:0040040	thermosensory behavior	NA	NA	1	0	1
GO:0042126	nitrate metabolic process	NA	NA	1	0	1
GO:0042137	sequestering of neurotransmitter	NA	NA	1	0	1
GO:0042144	vacuole fusion, non-autophagic	NA	NA	1	0	1
GO:0042197	halogenated hydrocarbon metabolic proces...	NA	NA	1	0	1
GO:0042214	terpene metabolic process	NA	NA	1	0	1
GO:0042264	peptidyl-aspartic acid hydroxylation	NA	NA	1	0	1
GO:0042305	specification of segmental identity, man...	NA	NA	1	0	1
GO:0042309	homoiothermy	NA	NA	1	0	1
GO:0042320	regulation of circadian sleep/wake cycle...	NA	NA	1	0	1
GO:0042321	negative regulation of circadian sleep/w...	NA	NA	1	0	1
GO:0042322	negative regulation of circadian sleep/w...	NA	NA	1	0	1
GO:0042323	negative regulation of circadian sleep/w...	NA	NA	1	0	1
GO:0042335	cuticle development	NA	NA	1	0	1
GO:0042340	keratan sulfate catabolic process	NA	NA	1	0	1
GO:0042351	'de novo' GDP-L-fucose biosynthetic proc...	NA	NA	1	0	1
GO:0042361	menaquinone catabolic process	NA	NA	1	0	1
GO:0042369	vitamin D catabolic process	NA	NA	1	0	1
GO:0042386	hemocyte differentiation	NA	NA	1	0	1
GO:0042404	thyroid hormone catabolic process	NA	NA	1	0	1
GO:0042412	taurine biosynthetic process	NA	NA	1	0	1
GO:0042413	carnitine catabolic process	NA	NA	1	0	1
GO:0042414	epinephrine metabolic process	NA	NA	1	0	1
GO:0042418	epinephrine biosynthetic process	NA	NA	1	0	1
GO:0042431	indole metabolic process	NA	NA	1	0	1
GO:0042441	eye pigment metabolic process	NA	NA	1	0	1
GO:0042443	phenylethylamine metabolic process	NA	NA	1	0	1
GO:0042450	arginine biosynthetic process via ornith...	NA	NA	1	0	1
GO:0042453	deoxyguanosine metabolic process	NA	NA	1	0	1
GO:0042483	negative regulation of odontogenesis	NA	NA	1	0	1
GO:0042489	negative regulation of odontogenesis of ...	NA	NA	1	0	1
GO:0042494	detection of bacterial lipoprotein	NA	NA	1	0	1
GO:0042495	detection of triacyl bacterial lipopepti...	NA	NA	1	0	1
GO:0042496	detection of diacyl bacterial lipopeptid...	NA	NA	1	0	1
GO:0042560	pteridine-containing compound catabolic ...	NA	NA	1	0	1
GO:0042628	mating plug formation	NA	NA	1	0	1
GO:0042635	positive regulation of hair cycle	NA	NA	1	0	1
GO:0042636	negative regulation of hair cycle	NA	NA	1	0	1
GO:0042660	positive regulation of cell fate specifi...	NA	NA	1	0	1
GO:0042662	negative regulation of mesodermal cell f...	NA	NA	1	0	1
GO:0042663	regulation of endodermal cell fate speci...	NA	NA	1	0	1
GO:0042664	negative regulation of endodermal cell f...	NA	NA	1	0	1
GO:0042665	regulation of ectodermal cell fate speci...	NA	NA	1	0	1
GO:0042666	negative regulation of ectodermal cell f...	NA	NA	1	0	1
GO:0042669	regulation of inner ear auditory recepto...	NA	NA	1	0	1
GO:0042694	muscle cell fate specification	NA	NA	1	0	1
GO:0042699	follicle-stimulating hormone signaling p...	NA	NA	1	0	1
GO:0042700	luteinizing hormone signaling pathway	NA	NA	1	0	1
GO:0042706	eye photoreceptor cell fate commitment	NA	NA	1	0	1
GO:0042710	biofilm formation	NA	NA	1	0	1
GO:0042746	circadian sleep/wake cycle, wakefulness	NA	NA	1	0	1
GO:0042747	circadian sleep/wake cycle, REM sleep	NA	NA	1	0	1
GO:0042756	drinking behavior	NA	NA	1	0	1
GO:0042774	plasma membrane ATP synthesis coupled el...	NA	NA	1	0	1
GO:0042843	D-xylose catabolic process	NA	NA	1	0	1
GO:0042851	L-alanine metabolic process	NA	NA	1	0	1
GO:0042853	L-alanine catabolic process	NA	NA	1	0	1
GO:0042866	pyruvate biosynthetic process	NA	NA	1	0	1
GO:0042868	antisense RNA metabolic process	NA	NA	1	0	1
GO:0042873	aldonate transmembrane transport	NA	NA	1	0	1
GO:0042874	D-glucuronate transmembrane transport	NA	NA	1	0	1
GO:0042904	9-cis-retinoic acid biosynthetic process	NA	NA	1	0	1
GO:0042905	9-cis-retinoic acid metabolic process	NA	NA	1	0	1
GO:0042930	enterobactin transport	NA	NA	1	0	1
GO:0042940	D-amino acid transport	NA	NA	1	0	1
GO:0042941	D-alanine transmembrane transport	NA	NA	1	0	1
GO:0042942	D-serine transmembrane transport	NA	NA	1	0	1
GO:0043007	maintenance of rDNA	NA	NA	1	0	1
GO:0043041	amino acid activation for nonribosomal p...	NA	NA	1	0	1
GO:0043049	otic placode formation	NA	NA	1	0	1
GO:0043052	thermotaxis	NA	NA	1	0	1
GO:0043063	intercellular bridge organization	NA	NA	1	0	1
GO:0043097	pyrimidine nucleoside salvage	NA	NA	1	0	1
GO:0043132	NAD transport	NA	NA	1	0	1
GO:0043133	hindgut contraction	NA	NA	1	0	1
GO:0043134	regulation of hindgut contraction	NA	NA	1	0	1
GO:0043143	regulation of translation by machinery l...	NA	NA	1	0	1
GO:0043152	induction of bacterial agglutination	NA	NA	1	0	1
GO:0043163	cell envelope organization	NA	NA	1	0	1
GO:0043179	rhythmic excitation	NA	NA	1	0	1
GO:0043251	sodium-dependent organic anion transport	NA	NA	1	0	1
GO:0043311	positive regulation of eosinophil degran...	NA	NA	1	0	1
GO:0043324	pigment metabolic process involved in de...	NA	NA	1	0	1
GO:0043396	corticotropin-releasing hormone secretio...	NA	NA	1	0	1
GO:0043397	regulation of corticotropin-releasing ho...	NA	NA	1	0	1
GO:0043415	positive regulation of skeletal muscle t...	NA	NA	1	0	1
GO:0043420	anthranilate metabolic process	NA	NA	1	0	1
GO:0043438	acetoacetic acid metabolic process	NA	NA	1	0	1
GO:0043449	cellular alkene metabolic process	NA	NA	1	0	1
GO:0043606	formamide metabolic process	NA	NA	1	0	1
GO:0043932	ossification involved in bone remodeling	NA	NA	1	0	1
GO:0044010	single-species biofilm formation	NA	NA	1	0	1
GO:0044111	formation of structure involved in a sym...	NA	NA	1	0	1
GO:0044206	UMP salvage	NA	NA	1	0	1
GO:0044211	CTP salvage	NA	NA	1	0	1
GO:0044269	glycerol ether catabolic process	NA	NA	1	0	1
GO:0044278	disruption of cell wall in another organ...	NA	NA	1	0	1
GO:0044345	stromal-epithelial cell signaling involv...	NA	NA	1	0	1
GO:0044357	regulation of rRNA stability	NA	NA	1	0	1
GO:0044407	single-species biofilm formation in or o...	NA	NA	1	0	1
GO:0044524	protein sulfhydration	NA	NA	1	0	1
GO:0044558	uterine smooth muscle relaxation	NA	NA	1	0	1
GO:0044580	butyryl-CoA catabolic process	NA	NA	1	0	1
GO:0044751	cellular response to human chorionic gon...	NA	NA	1	0	1
GO:0044795	trans-Golgi network to recycling endosom...	NA	NA	1	0	1
GO:0044861	protein transport into plasma membrane r...	NA	NA	1	0	1
GO:0044866	modulation by host of viral exo-alpha-si...	NA	NA	1	0	1
GO:0044867	modulation by host of viral catalytic ac...	NA	NA	1	0	1
GO:0044869	negative regulation by host of viral exo...	NA	NA	1	0	1
GO:0044870	modulation by host of viral glycoprotein...	NA	NA	1	0	1
GO:0044871	negative regulation by host of viral gly...	NA	NA	1	0	1
GO:0044873	lipoprotein localization to membrane	NA	NA	1	0	1
GO:0045062	extrathymic T cell selection	NA	NA	1	0	1
GO:0045105	intermediate filament polymerization or ...	NA	NA	1	0	1
GO:0045106	intermediate filament depolymerization	NA	NA	1	0	1
GO:0045107	intermediate filament polymerization	NA	NA	1	0	1
GO:0045108	regulation of intermediate filament poly...	NA	NA	1	0	1
GO:0045162	clustering of voltage-gated sodium chann...	NA	NA	1	0	1
GO:0045186	zonula adherens assembly	NA	NA	1	0	1
GO:0045218	zonula adherens maintenance	NA	NA	1	0	1
GO:0045234	protein palmitoleylation	NA	NA	1	0	1
GO:0045339	farnesyl diphosphate catabolic process	NA	NA	1	0	1
GO:0045584	negative regulation of cytotoxic T cell ...	NA	NA	1	0	1
GO:0045610	regulation of hemocyte differentiation	NA	NA	1	0	1
GO:0045611	negative regulation of hemocyte differen...	NA	NA	1	0	1
GO:0045764	positive regulation of amino acid metabo...	NA	NA	1	0	1
GO:0045769	negative regulation of asymmetric cell d...	NA	NA	1	0	1
GO:0045796	negative regulation of intestinal choles...	NA	NA	1	0	1
GO:0045813	positive regulation of Wnt signaling pat...	NA	NA	1	0	1
GO:0045827	negative regulation of isoprenoid metabo...	NA	NA	1	0	1
GO:0045848	positive regulation of nitrogen utilizat...	NA	NA	1	0	1
GO:0045887	positive regulation of synaptic assembly...	NA	NA	1	0	1
GO:0045917	positive regulation of complement activa...	NA	NA	1	0	1
GO:0045925	positive regulation of female receptivit...	NA	NA	1	0	1
GO:0045951	positive regulation of mitotic recombina...	NA	NA	1	0	1
GO:0045957	negative regulation of complement activa...	NA	NA	1	0	1
GO:0045959	negative regulation of complement activa...	NA	NA	1	0	1
GO:0045960	positive regulation of complement activa...	NA	NA	1	0	1
GO:0045967	negative regulation of growth rate	NA	NA	1	0	1
GO:0045977	positive regulation of mitotic cell cycl...	NA	NA	1	0	1
GO:0045993	negative regulation of translational ini...	NA	NA	1	0	1
GO:0046005	positive regulation of circadian sleep/w...	NA	NA	1	0	1
GO:0046010	positive regulation of circadian sleep/w...	NA	NA	1	0	1
GO:0046038	GMP catabolic process	NA	NA	1	0	1
GO:0046052	UTP catabolic process	NA	NA	1	0	1
GO:0046055	dGMP catabolic process	NA	NA	1	0	1
GO:0046069	cGMP catabolic process	NA	NA	1	0	1
GO:0046080	dUTP metabolic process	NA	NA	1	0	1
GO:0046081	dUTP catabolic process	NA	NA	1	0	1
GO:0046086	adenosine biosynthetic process	NA	NA	1	0	1
GO:0046092	deoxycytidine metabolic process	NA	NA	1	0	1
GO:0046098	guanine metabolic process	NA	NA	1	0	1
GO:0046099	guanine biosynthetic process	NA	NA	1	0	1
GO:0046105	thymidine biosynthetic process	NA	NA	1	0	1
GO:0046108	uridine metabolic process	NA	NA	1	0	1
GO:0046120	deoxyribonucleoside biosynthetic process	NA	NA	1	0	1
GO:0046126	pyrimidine deoxyribonucleoside biosynthe...	NA	NA	1	0	1
GO:0046134	pyrimidine nucleoside biosynthetic proce...	NA	NA	1	0	1
GO:0046168	glycerol-3-phosphate catabolic process	NA	NA	1	0	1
GO:0046204	nor-spermidine metabolic process	NA	NA	1	0	1
GO:0046208	spermine catabolic process	NA	NA	1	0	1
GO:0046210	nitric oxide catabolic process	NA	NA	1	0	1
GO:0046219	indolalkylamine biosynthetic process	NA	NA	1	0	1
GO:0046226	coumarin catabolic process	NA	NA	1	0	1
GO:0046247	terpene catabolic process	NA	NA	1	0	1
GO:0046271	phenylpropanoid catabolic process	NA	NA	1	0	1
GO:0046272	stilbene catabolic process	NA	NA	1	0	1
GO:0046275	flavonoid catabolic process	NA	NA	1	0	1
GO:0046295	glycolate biosynthetic process	NA	NA	1	0	1
GO:0046296	glycolate catabolic process	NA	NA	1	0	1
GO:0046305	alkanesulfonate biosynthetic process	NA	NA	1	0	1
GO:0046333	octopamine metabolic process	NA	NA	1	0	1
GO:0046352	disaccharide catabolic process	NA	NA	1	0	1
GO:0046359	butyrate catabolic process	NA	NA	1	0	1
GO:0046360	2-oxobutyrate biosynthetic process	NA	NA	1	0	1
GO:0046373	L-arabinose metabolic process	NA	NA	1	0	1
GO:0046398	UDP-glucuronate metabolic process	NA	NA	1	0	1
GO:0046416	D-amino acid metabolic process	NA	NA	1	0	1
GO:0046436	D-alanine metabolic process	NA	NA	1	0	1
GO:0046437	D-amino acid biosynthetic process	NA	NA	1	0	1
GO:0046439	L-cysteine metabolic process	NA	NA	1	0	1
GO:0046443	FAD metabolic process	NA	NA	1	0	1
GO:0046448	tropane alkaloid metabolic process	NA	NA	1	0	1
GO:0046449	creatinine metabolic process	NA	NA	1	0	1
GO:0046521	sphingoid catabolic process	NA	NA	1	0	1
GO:0046552	photoreceptor cell fate commitment	NA	NA	1	0	1
GO:0046587	positive regulation of calcium-dependent...	NA	NA	1	0	1
GO:0046603	negative regulation of mitotic centrosom...	NA	NA	1	0	1
GO:0046657	folic acid catabolic process	NA	NA	1	0	1
GO:0046684	response to pyrethroid	NA	NA	1	0	1
GO:0046692	sperm competition	NA	NA	1	0	1
GO:0046713	borate transport	NA	NA	1	0	1
GO:0046720	citric acid secretion	NA	NA	1	0	1
GO:0046724	oxalic acid secretion	NA	NA	1	0	1
GO:0046813	receptor-mediated virion attachment to h...	NA	NA	1	0	1
GO:0046814	coreceptor-mediated virion attachment to...	NA	NA	1	0	1
GO:0046864	isoprenoid transport	NA	NA	1	0	1
GO:0046865	terpenoid transport	NA	NA	1	0	1
GO:0046874	quinolinate metabolic process	NA	NA	1	0	1
GO:0046882	negative regulation of follicle-stimulat...	NA	NA	1	0	1
GO:0046900	tetrahydrofolylpolyglutamate metabolic p...	NA	NA	1	0	1
GO:0046901	tetrahydrofolylpolyglutamate biosyntheti...	NA	NA	1	0	1
GO:0046960	sensitization	NA	NA	1	0	1
GO:0046986	negative regulation of hemoglobin biosyn...	NA	NA	1	0	1
GO:0048006	antigen processing and presentation, end...	NA	NA	1	0	1
GO:0048014	Tie signaling pathway	NA	NA	1	0	1
GO:0048074	negative regulation of eye pigmentation	NA	NA	1	0	1
GO:0048162	multi-layer follicle stage	NA	NA	1	0	1
GO:0048165	fused antrum stage	NA	NA	1	0	1
GO:0048174	negative regulation of short-term neuron...	NA	NA	1	0	1
GO:0048210	Golgi vesicle fusion to target membrane	NA	NA	1	0	1
GO:0048245	eosinophil chemotaxis	NA	NA	1	0	1
GO:0048252	lauric acid metabolic process	NA	NA	1	0	1
GO:0048321	axial mesodermal cell differentiation	NA	NA	1	0	1
GO:0048322	axial mesodermal cell fate commitment	NA	NA	1	0	1
GO:0048327	axial mesodermal cell fate specification	NA	NA	1	0	1
GO:0048337	positive regulation of mesodermal cell f...	NA	NA	1	0	1
GO:0048342	paraxial mesodermal cell differentiation	NA	NA	1	0	1
GO:0048343	paraxial mesodermal cell fate commitment	NA	NA	1	0	1
GO:0048389	intermediate mesoderm development	NA	NA	1	0	1
GO:0048390	intermediate mesoderm morphogenesis	NA	NA	1	0	1
GO:0048391	intermediate mesoderm formation	NA	NA	1	0	1
GO:0048392	intermediate mesodermal cell differentia...	NA	NA	1	0	1
GO:0048561	establishment of animal organ orientatio...	NA	NA	1	0	1
GO:0048571	long-day photoperiodism	NA	NA	1	0	1
GO:0048627	myoblast development	NA	NA	1	0	1
GO:0048632	negative regulation of skeletal muscle t...	NA	NA	1	0	1
GO:0048673	collateral sprouting of intact axon in r...	NA	NA	1	0	1
GO:0048677	axon extension involved in regeneration	NA	NA	1	0	1
GO:0048683	regulation of collateral sprouting of in...	NA	NA	1	0	1
GO:0048685	negative regulation of collateral sprout...	NA	NA	1	0	1
GO:0048688	negative regulation of sprouting of inju...	NA	NA	1	0	1
GO:0048690	regulation of axon extension involved in...	NA	NA	1	0	1
GO:0048692	negative regulation of axon extension in...	NA	NA	1	0	1
GO:0048697	positive regulation of collateral sprout...	NA	NA	1	0	1
GO:0048789	cytoskeletal matrix organization at acti...	NA	NA	1	0	1
GO:0048792	spontaneous exocytosis of neurotransmitt...	NA	NA	1	0	1
GO:0048807	female genitalia morphogenesis	NA	NA	1	0	1
GO:0048817	negative regulation of hair follicle mat...	NA	NA	1	0	1
GO:0048850	hypophysis morphogenesis	NA	NA	1	0	1
GO:0048852	diencephalon morphogenesis	NA	NA	1	0	1
GO:0048855	adenohypophysis morphogenesis	NA	NA	1	0	1
GO:0048865	stem cell fate commitment	NA	NA	1	0	1
GO:0048866	stem cell fate specification	NA	NA	1	0	1
GO:0048877	homeostasis of number of retina cells	NA	NA	1	0	1
GO:0048881	mechanosensory lateral line system devel...	NA	NA	1	0	1
GO:0048882	lateral line development	NA	NA	1	0	1
GO:0048884	neuromast development	NA	NA	1	0	1
GO:0048886	neuromast hair cell differentiation	NA	NA	1	0	1
GO:0048892	lateral line nerve development	NA	NA	1	0	1
GO:0048894	efferent axon development in a lateral l...	NA	NA	1	0	1
GO:0048915	posterior lateral line system developmen...	NA	NA	1	0	1
GO:0048916	posterior lateral line development	NA	NA	1	0	1
GO:0048919	posterior lateral line neuromast develop...	NA	NA	1	0	1
GO:0048923	posterior lateral line neuromast hair ce...	NA	NA	1	0	1
GO:0048925	lateral line system development	NA	NA	1	0	1
GO:0050428	3'-phosphoadenosine 5'-phosphosulfate bi...	NA	NA	1	0	1
GO:0050666	regulation of homocysteine metabolic pro...	NA	NA	1	0	1
GO:0050674	urothelial cell proliferation	NA	NA	1	0	1
GO:0050675	regulation of urothelial cell proliferat...	NA	NA	1	0	1
GO:0050677	positive regulation of urothelial cell p...	NA	NA	1	0	1
GO:0050783	cocaine metabolic process	NA	NA	1	0	1
GO:0050787	detoxification of mercury ion	NA	NA	1	0	1
GO:0050883	musculoskeletal movement, spinal reflex ...	NA	NA	1	0	1
GO:0050894	determination of affect	NA	NA	1	0	1
GO:0050923	regulation of negative chemotaxis	NA	NA	1	0	1
GO:0050924	positive regulation of negative chemotax...	NA	NA	1	0	1
GO:0050925	negative regulation of negative chemotax...	NA	NA	1	0	1
GO:0050928	negative regulation of positive chemotax...	NA	NA	1	0	1
GO:0050929	induction of negative chemotaxis	NA	NA	1	0	1
